ID,artist,title,picture data,file info,jpg url
31347,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","900*1055, true color, 206 kb",https://www.wga.hu/art/p/piero/2/8/8herac03.jpg
31348,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","900*1058, true color, 172 kb",https://www.wga.hu/art/p/piero/2/8/8herac05.jpg
31349,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","850*989, true color, 187 kb",https://www.wga.hu/art/p/piero/2/8/8herac06.jpg
31350,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","850*922, true color, 162 kb",https://www.wga.hu/art/p/piero/2/8/8herac07.jpg
31351,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1400*810, true color, 208 kb",https://www.wga.hu/art/p/piero/2/8/8herac08.jpg
31352,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1000*1168, true color, 194 kb",https://www.wga.hu/art/p/piero/2/8/8herac09.jpg
31353,PIERO DELLA FRANCESCA,angel,"1452-66, fresco, san francesco, arezzo","900*1041, true color, 203 kb",https://www.wga.hu/art/p/piero/2/92/92decor3.jpg
31354,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","800*941, true color, 118 kb",https://www.wga.hu/art/p/piero/2/8/8herac11.jpg
31355,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1116*1000, true color, 211 kb",https://www.wga.hu/art/p/piero/2/8/8herac12.jpg
31356,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1000*1167, true color, 209 kb",https://www.wga.hu/art/p/piero/2/8/8herac13.jpg
31357,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","900*1057, true color, 187 kb",https://www.wga.hu/art/p/piero/2/8/8herac04.jpg
31358,PIERO DELLA FRANCESCA,angel,"1452-66, fresco, san francesco, arezzo","800*1213, true color, 190 kb",https://www.wga.hu/art/p/piero/2/92/92decor4.jpg
31359,PIERO DELLA FRANCESCA,baptism of christ (detail),"1448-50, egg tempera on poplar panel, national gallery, london","800*970, true color, 141 kb",https://www.wga.hu/art/p/piero/3/02bapti2.jpg
31360,PIERO DELLA FRANCESCA,a detail after and before restoration,"-, fresco, san francesco, arezzo","1400*688, true color, 186 kb",https://www.wga.hu/art/p/piero/2/93/93restau2.jpg
31361,PIERO DELLA FRANCESCA,montefeltro altarpiece (detail),"1472-74, oil on panel, pinacoteca di brera, milan","856*1032, true color, 155 kb",https://www.wga.hu/art/p/piero/3/12monte3.jpg
31362,PIERO DELLA FRANCESCA,montefeltro altarpiece (detail),"1472-74, oil on panel, pinacoteca di brera, milan","900*1344, true color, 153 kb",https://www.wga.hu/art/p/piero/3/12monte4.jpg
31363,PIERO DELLA FRANCESCA,montefeltro altarpiece (detail),"1472-74, oil and tempera on panel, pinacoteca di brera, milan","1006*850, true color, 184 kb",https://www.wga.hu/art/p/piero/3/12monte5.jpg
31364,PIERO DELLA FRANCESCA,nativity,"1470-75, oil on poplar panel, 124 x 123 cm, national gallery, london","1050*1060, true color, 226 kb",https://www.wga.hu/art/p/piero/3/13nativ1.jpg
31365,PIERO DELLA FRANCESCA,nativity (detail),"1470-75, oil on poplar panel, national gallery, london","1000*1206, true color, 225 kb",https://www.wga.hu/art/p/piero/3/13nativ2.jpg
